iter	Passed	Remaining
1362	7262	19378
1363	7267	19372
1364	7272	19367
1365	7277	19359
1366	7283	19356
1367	7287	19347
1368	7291	19338
1369	7296	19332
1370	7301	19326
1371	7305	19319
1372	7309	19310
1373	7315	19304
1374	7319	19295
1375	7323	19288
1376	7327	19280
1377	7332	19273
1378	7338	19269
1379	7343	19263
1380	7348	19257
1381	7352	19248
1382	7355	19238
1383	7360	19229
1384	7363	19220
1385	7368	19214
1386	7372	19203
1387	7377	19198
1388	7381	19189
1389	7384	19178
1390	7387	19167
1391	7392	19159
1392	7396	19151
1393	7401	19146
1394	7406	19139
1395	7410	19131
1396	7414	19122
1397	7419	19115
1398	7424	19110
1399	7428	19101
1400	7431	19091
1401	7437	19086
1402	7441	19077
1403	7444	19067
1404	7447	19056
1405	7452	19050
1406	7458	19045
1407	7462	19038
1408	7467	19032
1409	7472	19025
1410	7476	19015
1411	7479	19005
1412	7484	18999
1413	7488	18992
1414	7493	18985
1415	7497	18976
1416	7502	18969
1417	7506	18960
1418	7509	18950
1419	7514	18944
1420	7519	18938
1421	7524	18932
1422	7528	18923
1423	7533	18918
1424	7537	18909
1425	7541	18900
1426	7544	18891
1427	7548	18882
1428	7553	18876
1429	7558	18869
1430	7563	18863
1431	7567	18854
1432	7570	18845
1433	7574	18835
1434	7577	18825
1435	7581	18816
1436	7586	18809
1437	7591	18803
1438	7597	18800
1439	7601	18792
1440	7605	18783
1441	7610	18778
1442	7616	18775
1443	7621	18768
1444	7625	18761
1445	7630	18755
1446	7634	18745
1447	7637	18735
1448	7640	18724
1449	7644	18716
1450	7649	18710
1451	7654	18702
1452	7658	18694
1453	7664	18691
1454	7667	18681
1455	7671	18672
1456	7676	18667
1457	7681	18660
1458	7685	18652
1459	7688	18642
1460	7693	18636
1461	7697	18628
1462	7700	18617
1463	7704	18608
1464	7709	18603
1465	7714	18596
1466	7718	18588
1467	7723	18582
1468	7727	18574
1469	7730	18564
1470	7734	18555
1471	7738	18546
1472	7742	18539
1473	7748	18535
1474	7753	18528
1475	7758	18522
1476	7762	18515
1477	7766	18506
1478	7769	18497
1479	7773	18488
1480	7778	18482
1481	7783	18476
1482	7788	18470
1483	7793	18463
1484	7797	18455
1485	7800	18446
1486	7806	18441
1487	7812	18439
1488	7816	18431
1489	7821	18425
1490	7825	18416
1491	7828	18406
1492	7832	18397
1493	7836	18390
1494	7842	18385
1495	7846	18377
1496	7850	18369
1497	7854	18362
1498	7858	18354
1499	7862	18346
1500	7866	18337
1501	7872	18333
1502	7877	18327
1503	7880	18318
1504	7885	18313
1505	7890	18305
1506	7893	18296
1507	7897	18288
1508	7901	18280
1509	7908	18279
1510	7912	18270
1511	7917	18265
1512	7922	18257
1513	7925	18248
1514	7928	18239
1515	7932	18231
1516	7937	18224
1517	7941	18216
1518	7946	18209
1519	7950	18202
1520	7953	18193
1521	7957	18184
1522	7961	18176
1523	7968	18175
1524	7973	18169
1525	7978	18163
1526	7983	18157
1527	7986	18147
1528	7990	18138
1529	7994	18130
1530	7998	18123
1531	8004	18119
1532	8007	18110
1533	8013	18105
1534	8016	18096
1535	8020	18087
1536	8023	18077
1537	8028	18071
1538	8032	18063
1539	8037	18057
1540	8040	18049
1541	8046	18043
1542	8050	18036
1543	8054	18027
1544	8057	18019
1545	8061	18011
1546	8068	18009
1547	8071	18000
1548	8077	17995
1549	8081	17987
1550	8084	17977
1551	8087	17968
1552	8092	17962
1553	8098	17957
1554	8102	17950
1555	8106	17942
1556	8111	17937
1557	8115	17928
1558	8118	17920
1559	8123	17913
1560	8129	17910
1561	8134	17903
1562	8144	17909
1563	8147	17900
1564	8151	17891
1565	8156	17884
1566	8159	17876
1567	8164	17869
1568	8167	17861
1569	8173	17857
1570	8178	17850
1571	8181	17841
1572	8187	17836
1573	8191	17830
1574	8196	17823
1575	8201	17817
1576	8205	17811
1577	8209	17802
1578	8213	17794
1579	8217	17786
1580	8221	17779
1581	8226	17772
1582	8229	17764
1583	8234	17757
1584	8238	17750
1585	8242	17741
1586	8246	17733
1587	8250	17727
1588	8254	17720
1589	8259	17713
1590	8263	17705
1591	8268	17699
1592	8272	17691
1593	8275	17682
1594	8279	17674
1595	8283	17667
1596	8288	17662
1597	8294	17659
1598	8300	17655
1599	8306	17650
1600	8310	17644
1601	8316	17640
1602	8324	17641
1603	8329	17635
1604	8334	17629
1605	8339	17623
1606	8343	17616
1607	8349	17613
1608	8356	17611
1609	8360	17603
1610	8366	17601
1611	8370	17593
1612	8374	17584
1613	8378	17577
1614	8385	17575
1615	8389	17568
1616	8393	17560
1617	8398	17555
1618	8402	17548
1619	8406	17540
1620	8410	17532
1621	8415	17525
1622	8419	17518
1623	8422	17508
1624	8427	17503
1625	8431	17495
1626	8434	17486
1627	8438	17477
1628	8442	17469
1629	8446	17462
1630	8451	17457
1631	8454	17447
1632	8459	17441
1633	8463	17434
1634	8466	17425
1635	8469	17415
1636	8473	17407
1637	8477	17399
1638	8482	17393
1639	8486	17386
